S-10B
S-10B Google 0 42.45810055865922 S:30, I:2, D:44
S-10B Kaldi 0 24.58100558659218 S:21, I:2, D:21
S-10B Google 1 38.32752613240418 S:64, I:4, D:42
S-10B Kaldi 1 23.34494773519164 S:48, I:2, D:17
S-10B Google 2 29.003021148036254 S:52, I:2, D:42
S-10B Kaldi 2 19.939577039274923 S:41, I:4, D:21
S-10B Google 3 29.19463087248322 S:48, I:2, D:37
S-10B Kaldi 3 20.80536912751678 S:44, I:2, D:16
S-10B Google 4 31.543624161073826 S:85, I:2, D:54
S-10B Kaldi 4 21.252796420581657 S:67, I:4, D:24
S-10B Google 5 25.669642857142858 S:60, I:9, D:46
S-10B Kaldi 5 16.964285714285715 S:49, I:11, D:16
S-10B Google 6 29.26829268292683 S:26, I:0, D:22
S-10B Kaldi 6 18.902439024390244 S:14, I:2, D:15
S-10B Google 7 30.543933054393307 S:54, I:2, D:17
S-10B Kaldi 7 23.430962343096233 S:38, I:0, D:18
S-10B Google 8 28.125 S:49, I:0, D:23
S-10B Kaldi 8 17.578125 S:27, I:4, D:14
S-21A
S-21A Google 0 66.03053435114504 S:73, I:0, D:100
S-21A Kaldi 0 46.18320610687023 S:66, I:1, D:54
S-21A Google 1 58.90909090909091 S:62, I:0, D:100
S-21A Kaldi 1 39.27272727272727 S:64, I:1, D:43
S-21A Google 2 62.121212121212125 S:45, I:1, D:77
S-21A Kaldi 2 37.878787878787875 S:49, I:5, D:21
S-21A Google 3 61.96868008948546 S:129, I:0, D:148
S-21A Kaldi 3 37.360178970917225 S:86, I:4, D:77
S-21A Google 4 62.18323586744639 S:142, I:1, D:176
S-21A Kaldi 4 43.66471734892787 S:127, I:9, D:88
S-21A Google 5 63.768115942028984 S:80, I:2, D:94
S-21A Kaldi 5 41.666666666666664 S:57, I:2, D:56
S-21A Google 6 60.95238095238095 S:22, I:0, D:42
S-21A Kaldi 6 41.904761904761905 S:18, I:0, D:26
S-21A Google 7 57.89473684210526 S:8, I:0, D:14
S-21A Kaldi 7 31.57894736842105 S:8, I:0, D:4
S-21A Google 8 43.90243902439025 S:7, I:0, D:11
S-21A Kaldi 8 24.390243902439025 S:5, I:2, D:3
